Chr1	0	500000	69
Chr1	500000	1000000	59
Chr1	1000000	1500000	56
Chr1	1500000	2000000	59
Chr1	2000000	2500000	66
Chr1	2500000	3000000	91
Chr1	3000000	3500000	69
Chr1	3500000	4000000	65
Chr1	4000000	4500000	72
Chr1	4500000	5000000	60
Chr1	5000000	5500000	51
Chr1	5500000	6000000	76
Chr1	6000000	6500000	50
Chr1	6500000	7000000	63
Chr1	7000000	7500000	64
Chr1	7500000	8000000	67
Chr1	8000000	8500000	77
Chr1	8500000	9000000	72
Chr1	9000000	9500000	66
Chr1	9500000	10000000	48
Chr1	10000000	10500000	37
Chr1	10500000	11000000	48
Chr1	11000000	11500000	41
Chr1	11500000	12000000	53
Chr1	12000000	12500000	48
Chr1	12500000	13000000	49
Chr1	13000000	13500000	43
Chr1	13500000	14000000	29
Chr1	14000000	14500000	37
Chr1	14500000	15000000	28
Chr1	15000000	15500000	34
Chr1	15500000	16000000	48
Chr1	16000000	16500000	33
Chr1	16500000	17000000	46
Chr1	17000000	17500000	21
Chr1	17500000	18000000	10
Chr1	18000000	18500000	4
Chr1	18500000	19000000	40
Chr1	19000000	19500000	47
Chr1	19500000	20000000	41
Chr1	20000000	20500000	50
Chr1	20500000	21000000	46
Chr1	21000000	21500000	44
Chr1	21500000	22000000	35
Chr1	22000000	22500000	57
Chr1	22500000	23000000	30
Chr1	23000000	23500000	57
Chr1	23500000	24000000	46
Chr1	24000000	24500000	63
Chr1	24500000	25000000	64
Chr1	25000000	25500000	71
Chr1	25500000	26000000	59
Chr1	26000000	26500000	60
Chr1	26500000	27000000	58
Chr1	27000000	27500000	69
Chr1	27500000	28000000	65
Chr1	28000000	28500000	60
Chr1	28500000	29000000	68
Chr1	29000000	29500000	49
Chr1	29500000	30000000	66
Chr1	30000000	30500000	74
Chr1	30500000	31000000	67
Chr1	31000000	31500000	59
Chr1	31500000	32000000	63
Chr1	32000000	32500000	81
Chr1	32500000	33000000	60
Chr1	33000000	33500000	64
Chr1	33500000	34000000	77
Chr1	34000000	34500000	60
Chr1	34500000	35000000	42
Chr1	35000000	35500000	83
Chr1	35500000	36000000	58
Chr1	36000000	36500000	70
Chr1	36500000	37000000	67
Chr1	37000000	37500000	72
Chr1	37500000	38000000	78
Chr1	38000000	38500000	68
Chr1	38500000	39000000	71
Chr1	39000000	39500000	78
Chr1	39500000	40000000	75
Chr1	40000000	40500000	72
Chr1	40500000	41000000	65
Chr1	41000000	41500000	78
Chr1	41500000	42000000	70
Chr1	42000000	42500000	68
Chr1	42500000	43000000	76
Chr1	43000000	43500000	62
